die Immobilienbranche,real estate sector,"Die Preise in der Immobilienbranche steigen weiter.","Prices in the real estate sector continue to rise."
die IT-Branche,IT industry,"Die IT-Branche wächst sehr schnell.","The IT industry is growing very fast."
der Maschinenbau,mechanical engineering,"Deutschland ist führend im Maschinenbau.","Germany is a leader in mechanical engineering."
die Medien (Pl.),media,"Er arbeitet in den Medien als Journalist.","He works in the media as a journalist."
die Metallindustrie,metal industry,"Die Metallindustrie ist ein wichtiger Arbeitgeber in der Region.","The metal industry is an important employer in the region."
der Öffentliche Dienst,public service,"Viele Menschen streben eine Karriere im Öffentlichen Dienst an.","Many people strive for a career in public service."
die Pharmaindustrie,pharmaceutical industry,"Die Pharmaindustrie entwickelt neue Medikamente.","The pharmaceutical industry develops new medicines."
Transport und Logistik,transport and logistics,"Der Bereich Transport und Logistik sucht LKW-Fahrer.","The transport and logistics sector is looking for truck drivers."
der Einkauf,purchase department,"Der Einkauf verhandelt mit den Lieferanten.","The purchase department negotiates with the suppliers."
die Finanzabteilung,finance department,"Die Finanzabteilung erstellt den Jahresabschluss.","The finance department prepares the annual financial statements."
die Geschäftsleitung,management / executive board,"Die Geschäftsleitung hat neue Ziele gesetzt.","The management has set new goals."
die Kundenbetreuung,customer service department,"Unsere Kundenbetreuung ist rund um die Uhr erreichbar.","Our customer service department is available around the clock."
das Lager,warehouse,"Die Ware wird im Lager geprüft.","The goods are checked in the warehouse."
die Marketingabteilung,marketing department,"Die Marketingabteilung plant eine neue Kampagne.","The marketing department is planning a new campaign."
die Personalabteilung,HR department,"Bewerbungen bitte an die Personalabteilung senden.","Please send applications to the HR department."
die Produktion,production,"Die Produktion läuft auf Hochtouren.","Production is running at full speed."
die Berufschancen (Pl.),career opportunities,"Gute Englischkenntnisse verbessern Ihre Berufschancen.","Good English skills improve your career opportunities."
der Einsatzplan,shift plan,"Der Einsatzplan für nächste Woche hängt aus.","The shift plan for next week is posted."
die Konkurrenz,competition,"Wir müssen uns gegen die Konkurrenz durchsetzen.","We have to assert ourselves against the competition."
der/die Vorgesetzte,superior,"Mein Vorgesetzter ist sehr verständnisvoll.","My superior is very understanding."
die Ware,merchandise,"Die Ware wurde gestern geliefert.","The merchandise was delivered yesterday."
die Anredeform,form of address,"Welche Anredeform ist in Ihrer Firma üblich?","Which form of address is common in your company?"
die Firmenphilosophie,corporate philosophy,"Nachhaltigkeit ist Teil unserer Firmenphilosophie.","Sustainability is part of our corporate philosophy."
das Image,image,"Das Unternehmen pflegt ein modernes Image.","The company cultivates a modern image."
duzen,to use the familiar form of address,"Unter Kollegen duzen wir uns meistens.","Among colleagues, we usually use the familiar form of address."
siezen,to use the formal form of address,"Im Kundenkontakt siezen wir grundsätzlich.","In customer contact, we use the formal form of address as a rule."
angemessen,appropriate,"Bitte erscheinen Sie in angemessener Kleidung.","Please appear in appropriate clothing."
förmlich,formal,"Der Umgangston ist hier sehr förmlich.","The tone is very formal here."
konservativ,conservative,"Banken haben oft einen konservativen Dresscode.","Banks often have a conservative dress code."
locker,casual,"Die Atmosphäre im Team ist sehr locker.","The atmosphere in the team is very casual."
respektlos,disrespectful,"Es ist respektlos, Kollegen zu unterbrechen.","It is disrespectful to interrupt colleagues."
traditionsreich,rich in tradition,"Wir sind ein traditionsreiches Familienunternehmen.","We are a family business rich in tradition."
das Du anbieten,to offer the informal 'Du',"Der Chef hat mir das Du angeboten.","The boss offered me the informal 'Du'."
den ersten Schritt machen,to take the first step,"Manchmal muss man den ersten Schritt machen.","Sometimes you have to take the first step."
per Du/Sie sein,to be on first-name/last-name terms,"Wir sind alle per Du.","We are all on first-name terms."
tabu sein,to be taboo,"Politische Diskussionen sind im Büro tabu.","Political discussions are taboo in the office."
die Ausbildung,training,"Sie hat ihre Ausbildung zur Kauffrau abgeschlossen.","She completed her training as a merchant."
der Ausbildungsberuf,occupation requiring training,"Tischler ist ein klassischer Ausbildungsberuf.","Carpenter is a classic occupation requiring training."
die Berufsfachschule,vocational school,"Er besucht zweimal pro Woche die Berufsfachschule.","He attends vocational school twice a week."
das Berufsinformationszentrum (BIZ),Vocational Information Centre,"Im BIZ können Sie sich über alle Berufe informieren.","You can find out about all professions at the BIZ."
das Berufskolleg,vocational college,"Das Berufskolleg bietet verschiedene Abschlüsse an.","The vocational college offers various degrees."
das Berufsvorbereitungsjahr,vocational preparation year,"Das Berufsvorbereitungsjahr hilft bei der Orientierung.","The vocational preparation year helps with orientation."
die Fortbildungsakademie,advanced training academy,"Die Fortbildungsakademie bietet Kurse für Führungskräfte.","The advanced training academy offers courses for executives."
die Handelssprache,commercial language,"Englisch ist die wichtigste Handelssprache.","English is the most important commercial language."
die Sprachkenntnisse (Pl.),language skills,"Gute Sprachkenntnisse sind in diesem Job unerlässlich.","Good language skills are essential in this job."
absolvieren,to complete,"Sie absolviert gerade ein Praktikum.","She is currently completing an internship."
Erfahrungen sammeln,to gain experience,"Im Ausland konnte er wertvolle Erfahrungen sammeln.","He was able to gain valuable experience abroad."
der erlernte Beruf,learned profession,"Er arbeitet nicht mehr in seinem erlernten Beruf.","He no longer works in his learned profession."
die fundierte Ausbildung,sound training,"Eine fundierte Ausbildung ist die Basis für den Erfolg.","Sound training is the basis for success."
die Altersbegrenzung,age limit,"Für diese Stelle gibt es keine Altersbegrenzung.","There is no age limit for this position."
das Anliegen,concern,"Was ist Ihr Anliegen?","What is your concern?"
der Aushilfsjob,temporary job,"Er sucht einen Aushilfsjob für die Ferien.","He is looking for a temporary job for the holidays."
die Ausschreibung,job advertisement,"Die Ausschreibung klang sehr interessant.","The job advertisement sounded very interesting."
die Bewerbungsunterlagen (Pl.),application documents,"Senden Sie Ihre Bewerbungsunterlagen bitte als PDF.","Please send your application documents as a PDF."
die Jobbörse,job exchange,"In der Online-Jobbörse finden Sie viele Angebote.","You will find many offers in the online job exchange."
der/die Personalchef/-in,head of Human Resources,"Das Gespräch führt der Personalchef persönlich.","The interview is conducted by the head of Human Resources personally."
beeindrucken,to impress,"Er hat uns mit seinem Fachwissen beeindruckt.","He impressed us with his expertise."
jobben,to work on the side,"Viele Studenten müssen nebenbei jobben.","Many students have to work on the side."
derzeitig,current,"Wer ist Ihr derzeitiger Arbeitgeber?","Who is your current employer?"
gelegentlich,occasional,"Gelegentlich muss ich auch am Wochenende arbeiten.","Occasionally I also have to work on weekends."
gewissenhaft,conscientious,"Sie erledigt ihre Aufgaben sehr gewissenhaft.","She performs her tasks very conscientiously."
reibungslos,smooth,"Der Ablauf war absolut reibungslos.","The process was absolutely smooth."
zuverlässig,reliable,"Wir brauchen einen zuverlässigen Mitarbeiter.","We need a reliable employee."
ab und zu,from time to time,"Ab und zu machen wir Überstunden.","From time to time we work overtime."
die Ausbildung verkürzen,to shorten the training,"Bei guten Noten kann man die Ausbildung verkürzen.","With good grades, you can shorten the training."
beruflich vorwärtskommen,to advance professionally,"Er wechselte die Firma, um beruflich vorwärtszukommen.","He changed companies to advance professionally."
die feste Arbeit,steady job,"Endlich hat er eine feste Arbeit gefunden.","Finally, he found a steady job."
rund um die Uhr,around the clock,"Der Service ist rund um die Uhr verfügbar.","The service is available around the clock."
der Anlagenmechaniker,plant mechanic,"Der Anlagenmechaniker wartet die Maschinen.","The plant mechanic maintains the machines."
der Bilanzbuchhalter,accountant,"Der Bilanzbuchhalter prüft die Finanzen.","The accountant checks the finances."
der Bürokaufmann,office worker,"Als Bürokaufmann organisiert er den Büroalltag.","As an office worker, he organizes everyday office life."
der Gärtner,gardener,"Der Gärtner pflegt die Grünanlagen.","The gardener maintains the green areas."
der Gesundheits- und Krankenpfleger,nurse,"Der Krankenpfleger kümmert sich um die Patienten.","The nurse takes care of the patients."
der Näher / die Näherin,dressmaker,"Die Näherin ändert die Kleidung.","The dressmaker alters the clothes."
die Servicekraft,service employee,"Wir suchen eine Servicekraft für unser Café.","We are looking for a service employee for our cafe."
der Zimmerservice,room service,"Der Zimmerservice bringt das Frühstück.","Room service brings breakfast."
die Aufstiegschancen (Pl.),opportunities for advancement,"In diesem Unternehmen gibt es gute Aufstiegschancen.","There are good opportunities for advancement in this company."
der Außentermin,external appointment,"Ich bin heute Vormittag auf einem Außentermin.","I am at an external appointment this morning."
die Besprechung,meeting,"Die Besprechung dauert voraussichtlich eine Stunde.","The meeting is expected to last one hour."
die Kantine,canteen,"Das Essen in der Kantine ist preiswert.","The food in the canteen is inexpensive."
die Sozialleistungen (Pl.),social benefits,"Die Firma bietet attraktive Sozialleistungen.","The company offers attractive social benefits."
jmdm. einen Gefallen tun,to do someone a favour,"Kannst du mir einen Gefallen tun?","Can you do me a favour?"
das Gehalt verhandeln,to negotiate salary,"Man sollte sein Gehalt geschickt verhandeln.","One should negotiate one's salary skillfully."
Karriere machen,to make a career,"Sie will unbedingt Karriere machen.","She really wants to make a career."
Priorität haben,to take priority,"Kundenzufriedenheit hat bei uns oberste Priorität.","Customer satisfaction takes top priority for us."
Sachen abarbeiten,to process things,"Ich muss erst diese Liste abarbeiten.","I have to process this list first."
sachlich bleiben,to stay objective,"Bitte bleiben Sie auch bei Kritik sachlich.","Please stay objective even with criticism."
angemessen bezahlt werden,to be paid appropriately,"Gute Arbeit sollte angemessen bezahlt werden.","Good work should be paid appropriately."
auf Dauer unzufrieden sein,to be dissatisfied in the long run,"Auf Dauer bin ich in diesem Job unzufrieden.","In the long run, I am dissatisfied in this job."
Bedenken äußern,to express concerns,"Der Betriebsrat äußerte Bedenken gegen den Plan.","The works council expressed concerns about the plan."
die Chemie stimmt,the chemistry is right,"Zwischen uns stimmt die Chemie einfach.","The chemistry between us is simply right."
fix und fertig sein,to be run down / exhausted,"Nach der Schicht war ich fix und fertig.","After the shift, I was completely exhausted."
die Geduld bewahren,to keep patient,"In schwierigen Situationen muss man die Geduld bewahren.","In difficult situations, one must keep patient."
gesellschaftlich anerkannt sein,to be socially recognised,"Der Beruf ist gesellschaftlich hoch anerkannt.","The profession is socially highly recognised."
ein hohes Arbeitspensum haben,to have a high workload,"Wir haben derzeit ein sehr hohes Arbeitspensum.","We currently have a very high workload."
die monotone Aufgabe,monotonous task,"Er mag keine monotonen Aufgaben.","He doesn't like monotonous tasks."
nichts Unüberlegtes tun,not to do anything rash,"Bitte tun Sie nichts Unüberlegtes!","Please do not do anything rash!"
nichts zu verschenken haben,not to have money to burn,"Wir müssen sparen, wir haben nichts zu verschenken.","We have to save, we don't have money to burn."
schlecht gelaunt sein,to be in a bad mood,"Warum bist du heute so schlecht gelaunt?","Why are you in such a bad mood today?"
sich überfordert fühlen,to feel overchallenged,"Ich fühle mich von den vielen Aufgaben überfordert.","I feel overchallenged by the many tasks."
sich zu Tode langweilen,to be bored to death,"In diesem Meeting habe ich mich zu Tode gelangweilt.","I was bored to death in this meeting."
die 40-Stunden-Woche,40-hour week,"Die 40-Stunden-Woche ist hier Standard.","The 40-hour week is standard here."
das Entgegenkommen,goodwill / accommodation,"Vielen Dank für Ihr Entgegenkommen.","Thank you for your accommodation."
die Gleitzeit,flexitime,"Dank Gleitzeit kann ich morgens später kommen.","Thanks to flexitime, I can come later in the morning."
die Kernzeit,core hours,"Unsere Kernzeit ist von 10 bis 15 Uhr.","Our core hours are from 10 am to 3 pm."
die Wechselschicht,rotating shift,"Er arbeitet in Wechselschicht.","He works in rotating shifts."
flexible Arbeitszeiten,flexible working hours,"Eltern schätzen flexible Arbeitszeiten.","Parents appreciate flexible working hours."
feste Arbeitszeiten,fixed working hours,"Ich bevorzuge feste Arbeitszeiten.","I prefer fixed working hours."
Überstunden machen,to work overtime,"Müssen wir heute Überstunden machen?","Do we have to work overtime today?"
vertraglich vereinbaren,to agree by contract,"Der Bonus wurde vertraglich vereinbart.","The bonus was agreed by contract."
das Betreuungsangebot,childcare services,"Das Betreuungsangebot für Kinder ist sehr gut.","The childcare services are very good."
die Tagesmutter,childminder,"Unsere Tochter geht zu einer Tagesmutter.","Our daughter goes to a childminder."
alleinerziehend,single parent,"Als Alleinerziehende hat sie es oft schwer.","As a single parent, she often has a hard time."
familienfreundlich,family-friendly,"Das Unternehmen gilt als sehr familienfreundlich.","The company is considered very family-friendly."
angewiesen sein auf,to be dependent on,"Ich bin auf das Auto angewiesen.","I am dependent on the car."
vereinbaren,to reconcile / combine,"Es ist schwer, Beruf und Familie zu vereinbaren.","It is hard to reconcile work and family."
German Word,English Meaning,German Example Sentence,English Translation
die An-/Abreise,arrival/departure,"Die An- und Abreise erfolgt auf eigene Kosten.","Arrival and departure are at your own expense."
der Besprechungsraum,conference room,"Ist der große Besprechungsraum für morgen reserviert?","Is the large conference room booked for tomorrow?"
die Buchungsbestätigung,booking confirmation,"Ich habe die Buchungsbestätigung per E-Mail erhalten.","I received the booking confirmation via email."
das Doppelzimmer (DZ),double room,"Wir haben für die Gäste zwei Doppelzimmer gebucht.","We booked two double rooms for the guests."
das Einzelzimmer (EZ),single room,"Ich bevorzuge auf Geschäftsreisen ein Einzelzimmer.","I prefer a single room on business trips."
die Fahrgemeinschaft,carpool,"Wir haben eine Fahrgemeinschaft zur Messe gebildet.","We formed a carpool to the trade fair."
die Flugverbindung,flight connection,"Es gibt keine direkte Flugverbindung nach Berlin.","There is no direct flight connection to Berlin."
das Gewerbegebiet,industrial area,"Unser neues Büro liegt in einem großen Gewerbegebiet.","Our new office is located in a large industrial area."
das Meeting,meeting,"Das Meeting wurde auf 14 Uhr verschoben.","The meeting was postponed to 2 p.m."
das Mietauto,hire car / rental car,"Vom Flughafen nehmen wir uns ein Mietauto.","We will take a rental car from the airport."
die Parkmöglichkeit,parking,"Gibt es am Hotel eine Parkmöglichkeit?","Is there parking available at the hotel?"
das Tagungshotel,conference hotel,"Das Tagungshotel ist leider schon ausgebucht.","The conference hotel is unfortunately already fully booked."
die Tiefgarage,underground car park,"Sie können Ihren Wagen in der Tiefgarage abstellen.","You can park your car in the underground car park."
die Zimmer-/Hotelkategorie,room/hotel category,"Welche Hotelkategorie darf ich für Sie buchen?","Which hotel category may I book for you?"
auf Montage fahren,to go away for work / assembly work,"Unsere Techniker fahren oft auf Montage ins Ausland.","Our technicians often go away on assembly work abroad."
die Arbeitsplatzbeschreibung,job description,"Die Aufgaben stehen genau in der Arbeitsplatzbeschreibung.","The tasks are listed exactly in the job description."
die Qualitätssicherung,quality assurance,"Die Qualitätssicherung prüft jedes Produkt vor dem Versand.","Quality assurance checks every product before shipping."
die Richtlinien (Pl.),guidelines,"Bitte halten Sie sich an die internen Richtlinien.","Please adhere to the internal guidelines."
der/die Vorarbeiter/-in,foreman,"Der Vorarbeiter teilt die Schichten ein.","The foreman schedules the shifts."
das Vorgehen,procedure,"Wir müssen unser Vorgehen genau absprechen.","We need to coordinate our procedure exactly."
Arbeitsabläufe regeln,to regulate workflows,"Neue Software soll die Arbeitsabläufe besser regeln.","New software is supposed to regulate workflows better."
Anweisungen verstehen,to understand instructions,"Haben alle Mitarbeiter die Anweisungen verstanden?","Did all employees understand the instructions?"
kleinschrittig festhalten,to record step-by-step,"Wir müssen jeden Arbeitsschritt kleinschrittig festhalten.","We have to record every work step in detail."
auf einem Stick speichern,to save to a USB stick,"Sichern Sie die Präsentation bitte auf einem Stick.","Please save the presentation to a USB stick."
einen Bericht vorlegen,to submit a report,"Er muss bis Freitag einen Bericht vorlegen.","He has to submit a report by Friday."
Ergebnisse präsentieren,to present results,"Morgen werden wir dem Kunden die Ergebnisse präsentieren.","Tomorrow we will present the results to the customer."
gemeinsam durchgehen,to go through together,"Lassen Sie uns den Plan noch einmal gemeinsam durchgehen.","Let's go through the plan together one more time."
eine Grafik einpflegen,to enter/insert a graphic,"Kannst du diese Grafik noch in den Bericht einpflegen?","Can you insert this graphic into the report?"
den Laptop herunterfahren,to shut down the laptop,"Vergessen Sie nicht, den Laptop herunterzufahren.","Don't forget to shut down the laptop."
einen Probedurchlauf machen,to make a test run,"Wir machen einen Probedurchlauf vor der Präsentation.","We are doing a test run before the presentation."
eine Sicherungskopie machen,to make a backup copy,"Machen Sie täglich eine Sicherungskopie Ihrer Daten.","Make a backup copy of your data daily."
schriftlich dokumentieren,to document in writing,"Jeder Fehler muss schriftlich dokumentiert werden.","Every error must be documented in writing."
Unterlagen zusammenstellen,to compile documents,"Ich muss noch die Unterlagen für das Meeting zusammenstellen.","I still have to compile the documents for the meeting."
Vorbereitungen treffen,to make preparations,"Wir haben alle Vorbereitungen für das Event getroffen.","We have made all preparations for the event."
absagen,to cancel,"Ich muss den Termin leider krankheitsbedingt absagen.","Unfortunately I have to cancel the appointment due to illness."
um etwas bitten,to ask for something,"Darf ich Sie um einen Gefallen bitten?","May I ask you for a favour?"
einen Gegenvorschlag machen,to make a counter-proposal,"Der Termin passt nicht, darf ich einen Gegenvorschlag machen?","The date doesn't suit, may I make a counter-proposal?"
seine Meinung ausdrücken,to express one’s opinion,"Jeder darf hier offen seine Meinung ausdrücken.","Everyone is allowed to express their opinion openly here."
nachfragen,to ask / enquire,"Ich wollte nur kurz nachfragen, ob alles geklappt hat.","I just wanted to briefly ask if everything worked out."
zustimmen,to consent / agree,"Der Chef muss dem Urlaubsantrag noch zustimmen.","The boss still has to consent to the leave request."
einverstanden sein,to agree,"Sind Sie mit diesem Vorschlag einverstanden?","Do you agree with this proposal?"
der Aufkleber,sticker,"Der Aufkleber „Zerbrechlich“ muss auf das Paket.","The sticker 'Fragile' must be on the package."
der Aussteller,exhibitor,"Viele Aussteller präsentieren ihre Neuheiten auf der Messe.","Many exhibitors present their novelties at the trade fair."
die Broschüre,brochure,"Haben Sie eine Broschüre über Ihre Produkte?","Do you have a brochure about your products?"
das Datenblatt,datasheet,"Alle technischen Details finden Sie im Datenblatt.","You can find all technical details in the datasheet."
das Detail,detail,"Wir müssen noch über ein wichtiges Detail sprechen.","We still have to talk about an important detail."
die Dienstleistung,service,"Wir bieten Dienstleistungen im IT-Bereich an.","We offer services in the IT sector."
der Flyer,flyer,"Wir verteilen Flyer in der Fußgängerzone.","We are distributing flyers in the pedestrian zone."
das Give-away,give away,"Kugelschreiber sind beliebte Give-aways auf Messen.","Ballpoint pens are popular give-aways at trade fairs."
der Großhändler,wholesaler,"Wir kaufen unsere Ware direkt beim Großhändler.","We buy our goods directly from the wholesaler."
der Katalog,catalogue,"Ich schicke Ihnen unseren aktuellen Katalog zu.","I will send you our current catalogue."
die Leistungsschau,exhibition / showcase,"Die Messe ist eine wichtige Leistungsschau der Branche.","The trade fair is an important showcase for the industry."
das Logo,logo,"Das Firmenlogo sollte auf jeder Seite sichtbar sein.","The company logo should be visible on every page."
das Muster,sample,"Kann ich ein Muster des Stoffes bekommen?","Can I get a sample of the fabric?"
das Poster,poster,"Das Poster wirbt für unsere neue Kampagne.","The poster advertises our new campaign."
der Prospektständer,brochure stand,"Der Prospektständer steht direkt am Eingang.","The brochure stand is right at the entrance."
der Stand,stand / booth,"Besuchen Sie uns an unserem Stand in Halle 3.","Visit us at our stand in Hall 3."
das Start-up-Unternehmen,start-up,"Das Start-up-Unternehmen sucht nach Investoren.","The start-up is looking for investors."
die To-do-Liste,to-do list,"Ich habe den Punkt auf meine To-do-Liste gesetzt.","I have put the item on my to-do list."
der Veranstalter,organiser,"Der Veranstalter erwartet 5000 Besucher.","The organiser expects 5000 visitors."
die Visitenkarte,business card,"Darf ich Ihnen meine Visitenkarte geben?","May I give you my business card?"
das Werbegeschenk,freebie / promotional gift,"Jeder Kunde erhält ein kleines Werbegeschenk.","Every customer receives a small promotional gift."
der Wettbewerber,competitor,"Wir müssen die Preise unserer Wettbewerber beobachten.","We have to monitor our competitors' prices."
innovativ,innovative,"Diese innovative Technik spart viel Energie.","This innovative technology saves a lot of energy."
einzigartig,unique,"Unser Service ist in dieser Region einzigartig.","Our service is unique in this region."
wettbewerbsfähig,competitive,"Wir müssen wettbewerbsfähig bleiben.","We must remain competitive."
die aktuelle Situation auf dem Markt,current situation on the market,"Die aktuelle Situation auf dem Markt ist schwierig.","The current situation on the market is difficult."
Angebote vergleichen,to compare offers,"Bevor wir kaufen, sollten wir mehrere Angebote vergleichen.","Before we buy, we should compare several offers."
keine Zeit verschwenden,to waste no time,"Lassen Sie uns keine Zeit verschwenden und anfangen.","Let's waste no time and start."
Präsenz zeigen,to make one’s presence felt / show presence,"Auf dieser Messe müssen wir unbedingt Präsenz zeigen.","We absolutely have to show presence at this trade fair."
eine Preisliste beilegen,to enclose a price list,"Ich werde dem Brief eine aktuelle Preisliste beilegen.","I will enclose a current price list with the letter."
Produkte präsentieren,to present products,"Wir präsentieren unsere Produkte einem breiten Publikum.","We present our products to a wide audience."
sich über Trends informieren,to find out about trends,"Auf der Messe kann man sich gut über Trends informieren.","At the trade fair, one can find out well about trends."
Umsatz machen,to make sales / turnover,"Wir wollen dieses Jahr mehr Umsatz machen.","We want to make more turnover this year."
die Ab-/Zusage,cancellation / acceptance,"Ich warte noch auf eine Zusage für den Job.","I am still waiting for an acceptance for the job."
die Filiale,branch,"Unsere neue Filiale eröffnet nächsten Monat.","Our new branch opens next month."
die Qualität,quality,"Wir legen großen Wert auf hohe Qualität.","We attach great importance to high quality."
die Saison,season,"In der Hauptsaison haben wir viel zu tun.","We are very busy in the peak season."
die Wartung,maintenance,"Die regelmäßige Wartung der Maschinen ist wichtig.","Regular maintenance of the machines is important."
Einzelheiten besprechen,to discuss details,"Wir müssen noch die Einzelheiten des Vertrags besprechen.","We still have to discuss the details of the contract."
gezielte Fragen stellen,to ask specific questions,"Stellen Sie gezielte Fragen, um das Problem zu verstehen.","Ask specific questions to understand the problem."
die Liefer- und Zahlungsbedingungen,terms of delivery and payment,"Die Liefer- und Zahlungsbedingungen finden Sie in den AGB.","You can find the terms of delivery and payment in the general terms and conditions."
Notizen machen,to take notes,"Ich werde mir während des Gesprächs Notizen machen.","I will take notes during the conversation."
eine praktische Lösung ausdenken,to come up with a practical solution,"Wir müssen uns schnell eine praktische Lösung ausdenken.","We have to come up with a practical solution quickly."
Rückfragen stellen,to ask questions (follow-up),"Zögern Sie nicht, Rückfragen zu stellen.","Do not hesitate to ask follow-up questions."
sich auf das Gespräch konzentrieren,to focus on the conversation,"Bitte konzentrieren Sie sich auf das Gespräch.","Please focus on the conversation."
die Anfrage,enquiry,"Wir haben eine Anfrage bezüglich unserer Preise erhalten.","We received an enquiry regarding our prices."
der Eilzuschlag,express surcharge,"Für Lieferungen am selben Tag berechnen wir einen Eilzuschlag.","We charge an express surcharge for same-day deliveries."
der Gesamtpreis,total price,"Der Gesamtpreis beinhaltet alle Steuern.","The total price includes all taxes."
das Mailing,mailing,"Wir planen ein großes Mailing an alle Bestandskunden.","We are planning a large mailing to all existing customers."
der Nettopreis,net price,"Gewerbekunden zahlen den Nettopreis.","Business customers pay the net price."
der Bruttopreis,gross price,"Der Bruttopreis enthält die Mehrwertsteuer.","The gross price includes VAT."
die Neukundengewinnung,new customer acquisition,"Die Neukundengewinnung ist dieses Jahr unser Hauptziel.","New customer acquisition is our main goal this year."
der Sonderwunsch,special request,"Wir versuchen, jeden Sonderwunsch zu erfüllen.","We try to fulfill every special request."
das Angebot ist gültig bis,the offer is valid until,"Dieses Angebot ist gültig bis Ende des Monats.","This offer is valid until the end of the month."
ein Angebot unterbreiten,to make / submit an offer,"Dürfen wir Ihnen ein Angebot unterbreiten?","May we submit an offer to you?"
ein Angebot verhandeln,to negotiate an offer,"Wir können das Angebot gerne noch verhandeln.","We can certainly still negotiate the offer."
das unverbindliche Angebot,non-binding offer,"Hier ist ein unverbindliches Angebot für Sie.","Here is a non-binding offer for you."
zuzüglich der gesetzlich geltenden Mehrwertsteuer,plus statutory value-added tax,"Der Preis versteht sich zuzüglich der gesetzlich geltenden Mehrwertsteuer.","The price is plus statutory value-added tax."
inklusive der gesetzlich geltenden Mehrwertsteuer,including statutory value-added tax,"Der Endpreis ist inklusive der gesetzlich geltenden Mehrwertsteuer.","The final price is including statutory value-added tax."
die Lieferkosten (Pl.),delivery costs,"Die Lieferkosten übernehmen wir.","We cover the delivery costs."
der Preisnachlass,price reduction / discount,"Bei Barzahlung gewähren wir einen Preisnachlass.","We grant a price reduction for cash payment."
der Rabatt,discount,"Stammkunden erhalten 10% Rabatt.","Regular customers receive a 10% discount."
die Ratenzahlung,instalment,"Ist eine Ratenzahlung möglich?","Is payment by instalment possible?"
das Skonto,early payment discount,"Bei Zahlung innerhalb von 10 Tagen ziehen wir 2% Skonto ab.","We deduct 2% early payment discount for payment within 10 days."
die Vorauszahlung,advance payment,"Wir bitten um eine Vorauszahlung von 50%.","We ask for an advance payment of 50%."
der Werktag,working day,"Die Lieferung erfolgt innerhalb von drei Werktagen.","Delivery takes place within three working days."
ab Werk,ex works,"Die Preise gelten ab Werk.","The prices apply ex works."
bei Erhalt der Ware,upon receipt of the goods,"Zahlbar sofort bei Erhalt der Ware.","Payable immediately upon receipt of the goods."
die Ware umtauschen,to exchange the goods,"Sie können die Ware innerhalb von 14 Tagen umtauschen.","You can exchange the goods within 14 days."
frei Grenze,free border,"Wir liefern frei Grenze.","We deliver free to the border."
frei Haus,carriage free / free delivery,"Ab einem Bestellwert von 500 Euro liefern wir frei Haus.","We offer free delivery for orders over 500 euros."
keine Garantie übernehmen,not to offer a guarantee,"Für Verschleißteile können wir keine Garantie übernehmen.","We cannot offer a guarantee for wear parts."
im Anhang,enclosed / attached,"Das Angebot finden Sie im Anhang dieser E-Mail.","You will find the offer attached to this email."
der Versand,despatch / shipping,"Der Versand erfolgt morgen.","Shipping will take place tomorrow."
frühestens,at the earliest,"Die Ware kommt frühestens am Montag an.","The goods will arrive on Monday at the earliest."
höchstens,at most,"Die Reparatur kostet höchstens 100 Euro.","The repair will cost 100 euros at most."
mindestens,at least,"Es dauert mindestens zwei Wochen.","It takes at least two weeks."
spätestens,at the latest,"Bitte zahlen Sie spätestens bis zum 30. April.","Please pay by April 30th at the latest."
bankrott sein,to be bankrupt,"Die Firma ist leider bankrott.","The company is unfortunately bankrupt."
zahlbar innerhalb von ... Tagen,payable within ... days,"Der Betrag ist zahlbar innerhalb von 14 Tagen.","The amount is payable within 14 days."
die Bürokommunikation,office communication,"Moderne Bürokommunikation ist effizient.","Modern office communication is efficient."
die Vertriebskenntnisse (Pl.),sales knowledge,"Er hat hervorragende Vertriebskenntnisse.","He has excellent sales knowledge."
zukunftsorientiert,future-oriented,"Wir sind ein zukunftsorientiertes Unternehmen.","We are a future-oriented company."
gängige Computerprogramme,common computer programs,"Sie beherrscht alle gängigen Computerprogramme.","She masters all common computer programs."
die Artikelnummer,item number,"Bitte geben Sie die Artikelnummer an.","Please state the item number."
die Bestellnummer,order number,"Haben Sie Ihre Bestellnummer parat?","Do you have your order number ready?"
die Artikelbezeichnung,item description,"Die Artikelbezeichnung steht auf der Rechnung.","The item description is on the invoice."
der Bestandskunde,existing customer,"Als Bestandskunde bekommen Sie Sonderkonditionen.","As an existing customer, you get special conditions."
die Kundennummer,customer number,"Meine Kundennummer lautet 12345.","My customer number is 12345."
der Neukunde,new customer,"Wir wollen mehr Neukunden gewinnen.","We want to acquire more new customers."
der Onlineshop,online shop,"Unser Onlineshop ist 24 Stunden geöffnet.","Our online shop is open 24 hours."
der Versandhandel,mail-order business,"Der Versandhandel boomt zurzeit.","The mail-order business is currently booming."
erhältlich sein,to be available,"Das Produkt ist ab sofort erhältlich.","The product is available immediately."
jmdm. etw. ausrichten,to pass on a message,"Ich werde ihm ausrichten, dass Sie angerufen haben.","I will pass on the message that you called."
eine Nachricht hinterlassen,to leave a message,"Möchten Sie eine Nachricht hinterlassen?","Would you like to leave a message?"
verfügbar sein,to be available,"Der Artikel ist momentan nicht verfügbar.","The item is currently not available."
die Barzahlung,cash payment,"Barzahlung ist bei Abholung möglich.","Cash payment is possible upon collection."
