nicht aufhören wollen / ständig reden,to go on and on,"He went on and on about the traffic on the M25.","Er hörte nicht auf, über den Verkehr auf der M25 zu reden."
die Schlucht,gorge,"The road through the gorge is incredibly beautiful.","Die Straße durch die Schlucht ist unglaublich schön."
der Reiseplan,itinerary,"Have you seen the itinerary for tomorrow?","Hast du den Reiseplan für morgen gesehen?"
Kopf-an-Kopf,neck and neck,"They were neck and neck as they came to the last 100 metres.","Sie lagen Kopf an Kopf, als sie die letzten 100 Meter erreichten."
etw. vorgeben / sich verstellen,to pretend,"They pretend to be someone different.","Sie geben vor, jemand anderes zu sein."
einer Meinung sein,to see eye to eye,"He hasn't always seen eye to eye with his neighbour.","Er war nicht immer einer Meinung mit seinem Nachbarn."
schwelend,smouldering,"We explored a cave under the smouldering volcano.","Wir erkundeten eine Höhle unter dem schwelenden Vulkan."
die Vorfreude,anticipation,"We arrived in Spain with a feeling of great anticipation.","Wir kamen mit großer Vorfreude in Spanien an."
der Kurzurlaub,break,"We went on a weekend break to Paris.","Wir machten einen Wochenend-Kurzurlaub in Paris."
erhebend / aufregend,exhilarating,"A long but exhilarating trip to the mountains.","Ein langer, aber erhebender Ausflug in die Berge."
die Erwartung,expectation,"The film exceeded all our expectations.","Der Film übertraf all unsere Erwartungen."
zusteuern auf,to head for,"I'm going to head for Manchester.","Ich werde auf Manchester zusteuern."
der Urlaub,holiday,"We usually go to Spain on holiday.","Wir fahren normalerweise im Urlaub nach Spanien."
die Reise,journey,"How long does the journey take?","Wie lange dauert die Reise?"
der Ort / Standort,location,"Our hotel was in a convenient location near the city centre.","Unser Hotel befand sich an einem günstigen Standort in der Nähe des Stadtzentrums."
zauberhaft,magical,"The cottage was a truly magical place.","Das Häuschen war ein wahrhaft zauberhafter Ort."
sich auf den Weg machen,to make your way,"Will customers please make their way to the exit.","Kunden möchten sich bitte auf den Weg zum Ausgang machen."
bewältigen / schaffen,to manage,"I haven't managed to save much money yet this year.","Ich habe es dieses Jahr noch nicht geschafft, viel Geld zu sparen."
zu viel berechnet (worden),overcharged,"Be careful and don't get overcharged in the market.","Sei vorsichtig, dass dir auf dem Markt nicht zu viel berechnet wird."
beliebt,popular,"He's very popular with his classmates.","Er ist bei seinen Klassenkameraden sehr beliebt."
ruinieren,to ruin,"There was a big argument which ruined the rest of the evening.","Es gab einen großen Streit, der den Rest des Abends ruinierte."
aufbrechen,to set off,"Wilson set off up the mountain without a guide.","Wilson brach ohne Führer zum Berg auf."
der Schlitten,sled,"The sled was pulled by a team of six huskies.","Der Schlitten wurde von einem Gespann aus sechs Huskys gezogen."
verderben,to spoil,"I don't want to spoil their fun.","Ich möchte ihnen den Spaß nicht verderben."
die Stelle / der Ort,spot,"This is the very spot where Lenin got off the train.","Das ist genau die Stelle, an der Lenin aus dem Zug stieg."
sich aufmachen / starten,to start out,"It was still dark when we started out in the morning.","Es war noch dunkel, als wir uns am Morgen aufmachten."
der Eintopf,stew,"We're having stew tonight.","Heute Abend essen wir Eintopf."
Erfolg haben / gelingen,to succeed,"She doesn't stop until she succeeds at something.","Sie hört nicht auf, bis sie bei etwas Erfolg hat."
das Badkleid / der Badeanzug,swimming costume,"Don't forget to pack your swimming costume.","Vergiss nicht, deinen Badeanzug einzupacken."
der Badeanzug,swimsuit,"I forgot to bring my swimsuit.","Ich habe vergessen, meinen Badeanzug mitzubringen."
aufregend,thrilling,"The movie is a thrilling adventure.","Der Film ist ein aufregendes Abenteuer."
die Fahrt / die Reise,trip,"How was your trip to Korea?","Wie war deine Reise nach Korea?"
beliebt (gut gelitten),well-liked,"A well-liked TV personality.","Eine beliebte TV-Persönlichkeit."
wunderbar,wonderful,"We had a wonderful holiday.","Wir hatten einen wunderbaren Urlaub."
eine Frage der Zeit,a matter of time,"It's only a matter of time before someone works out how to do it.","Es ist nur eine Frage der Zeit, bis jemand herausfindet, wie es geht."
selbstverständlich,as a matter of course,"I buy apples rather than pears as a matter of course.","Ich kaufe selbstverständlich eher Äpfel als Birnen."
aus Prinzip,as a matter of principle,"I never fly on a matter of principle.","Ich fliege aus Prinzip nie."
wenn wir schon dabei sind / was das betrifft,for that matter,"The books are ideal for children, and adults too for that matter.","Die Bücher sind ideal für Kinder, und auch für Erwachsene, was das betrifft."
bewundern,to marvel,"I marvelled at the grand buildings in Petra.","Ich bewunderte die großartigen Gebäude in Petra."
reine Willenssache,mind over matter,"It might be a case of mind over matter, but it really hurts!","Es mag reine Willenssache sein, aber es tut wirklich weh!"
nicht zum Lachen / nicht komisch,no laughing matter,"Getting lost in the mountains was no laughing matter.","Sich in den Bergen zu verirren, war nicht zum Lachen."
wie man es auch betrachtet,no matter which way you look at something,"No matter which way you look at it, climate change is a disaster.","Wie man es auch betrachtet, der Klimawandel ist eine Katastrophe."
penibel / äußerst sorgfältig,painstaking,"In the early years, it was slow and painstaking work.","In den frühen Jahren war es langsame und äußerst sorgfältige Arbeit."
unheimlich,uncanny,"He had an uncanny ability to know what I was about to say.","Er hatte die unheimliche Fähigkeit zu wissen, was ich sagen wollte."
Vorsichtsmaßnahmen treffen,to take precautions,"Wear a scarf just as a precaution.","Trag einen Schal, nur als Vorsichtsmaßnahme."
die Bandage / der Verband,bandage,"We put a bandage on his knee.","Wir haben einen Verband an seinem Knie angelegt."
der Klappentext,blurb,"According to the blurb, she wrote this in just three weeks.","Laut dem Klappentext hat sie das in nur drei Wochen geschrieben."
fesselnd,compelling,"Another compelling story from Denmark's favourite author.","Eine weitere fesselnde Geschichte von Dänemarks Lieblingsautor."
überzeugend,convincing,"It was a very convincing article.","Es war ein sehr überzeugender Artikel."
das Schicksal,destiny,"Your destiny is to become a great leader.","Dein Schicksal ist es, ein großer Anführer zu werden."
die Bestürzung,dismay,"The minister voiced her dismay.","Die Ministerin äußerte ihre Bestürzung."
weit hergeholt,far-fetched,"The plot was much too far-fetched.","Die Handlung war viel zu weit hergeholt."
flüchtig blicken,to glance,"I glanced at my watch.","Ich blickte flüchtig auf meine Uhr."
schwere Kost / mühsam,heavy-going,"I find Arnold Bennett's books very heavy-going.","Ich finde Arnold Bennetts Bücher sehr mühsam zu lesen."
der Mönch,monk,"The monastery is home to a community of 45 monks.","Das Kloster beherbergt eine Gemeinschaft von 45 Mönchen."
die Prosa,prose,"Most of Bunin's later work is prose.","Der Großteil von Bunins späterem Werk ist Prosa."
bloß / pur / schier,sheer,"By sheer luck, we found a parking space straight away.","Durch bloßes Glück fanden wir sofort einen Parkplatz."
ausgestreckt,stretched out,"He was lying stretched out on his back.","Er lag ausgestreckt auf dem Rücken."
willensstark,strong-willed,"He grew into a powerful and strong-willed young man.","Er wuchs zu einem kraftvollen und willensstarken jungen Mann heran."
zum Nachdenken anregend,thought-provoking,"We watched a really thought-provoking documentary last night.","Wir haben gestern Abend eine wirklich zum Nachdenken anregende Dokumentation gesehen."
der Trailer,trailer,"You can see the trailer for her latest film on YouTube.","Du kannst den Trailer für ihren neuesten Film auf YouTube sehen."
ereignislos,uneventful,"The trip home was uneventful.","Die Heimreise war ereignislos."
trocken / nicht anregend,uninspiring,"It was a dull, uninspiring task.","Es war eine langweilige, nicht anregende Aufgabe."
die Tugend,virtue,"Each character is very human in their virtues and their faults.","Jeder Charakter ist sehr menschlich in seinen Tugenden und Fehlern."
sich etw. schnappen,to grab,"I usually grab a quick coffee on my way to work.","Normalerweise schnappe ich mir auf dem Weg zur Arbeit einen schnellen Kaffee."
der/die Wallfahrer/-in / Pilger,pilgrim,"More than 350 pilgrims arrived here last week.","Mehr als 350 Pilger kamen letzte Woche hier an."
ehrlich gesagt,truth be told,"Truth be told, I never liked the James Bond films.","Ehrlich gesagt mochte ich die James-Bond-Filme nie."
der gehobenen Preisklasse / exklusiv,upmarket,"An upmarket restaurant in Pimlico.","Ein Restaurant der gehobenen Preisklasse in Pimlico."
Neue Wörter,New words,"Example sentence here","Translation here"
in Form bleiben,to keep in shape,"How do you keep in shape so well?","Wie bleibst du so gut in Form?"
von etw. völlig eingenommen sein / besessen sein,to obsess,"He was constantly obsessing over his diet.","Er war ständig von seiner Diät besessen."
Sport treiben / trainieren,to work out,"I work out three times a week at the gym.","Ich trainiere dreimal die Woche im Fitnessstudio."
das Backup / die Sicherungskopie,backup,"Don't switch the computer off until the backup has finished.","Schalten Sie den Computer nicht aus, bis das Backup beendet ist."
der Einbruch,break-in,"We had a break-in last night.","Wir hatten letzte Nacht einen Einbruch."
der/das Drive-in,drive-through,"A new drive-through restaurant on the Coventry Road.","Ein neues Drive-in-Restaurant an der Coventry Road."
zurückgreifen auf,to fall back on,"I had to fall back on my savings.","Ich musste auf meine Ersparnisse zurückgreifen."
weit entfernt,far-off,"The story told of a king and queen in a far-off land.","Die Geschichte erzählte von einem König und einer Königin in einem weit entfernten Land."
etw. entkommen / herauskommen,to get out of,"He always manages to get out of it.","Er schafft es immer, da rauszukommen."
auf etw. stoßen (Idee),to hit on,"They hit on the solution quite by chance.","Sie stießen ganz zufällig auf die Lösung."
ganzheitlich,holistic,"I have a holistic approach to my health.","Ich habe einen ganzheitlichen Ansatz für meine Gesundheit."
das Immunsystem,immune system,"Exercise can help boost your immune system.","Sport kann helfen, dein Immunsystem zu stärken."
sich über etw. auf dem Laufenden halten,to keep up with,"I keep up with my brother on Facebook.","Ich halte mich über meinen Bruder auf Facebook auf dem Laufenden."
etw. auf etw. zurückführen,to put down to,"Most people put it down to me being lazy.","Die meisten Leute führten es darauf zurück, dass ich faul bin."
jdm. etw. verleiden / abschrecken,to put off,"Don't let that one bad experience put you off golf.","Lass dich von dieser einen schlechten Erfahrung nicht vom Golfen abschrecken."
etw. für etw. vorsehen / beiseitelegen,to set aside,"How much time do you set aside for exercise each week?","Wie viel Zeit planst du jede Woche für Sport ein?"
aufbauen / gründen,to set up,"She wants to set up her own business.","Sie möchte ihr eigenes Unternehmen aufbauen."
der Zwischenstopp,stop-off,"We had a four-hour stop-off in Dubai.","Wir hatten einen vierstündigen Zwischenstopp in Dubai."
anstrengend,strenuous,"A strenuous five-mile hike across the hills.","Eine anstrengende Fünf-Meilen-Wanderung über die Hügel."
durchstarten,to take off,"After two years, the business really took off.","Nach zwei Jahren startete das Geschäft richtig durch."
auf etw. zurückkommen / Angebot annehmen,to take up on,"I'd like to take you up on your offer of a loan.","Ich würde gerne auf dein Angebot eines Kredits zurückkommen."
die Anspannung / Verspannung,tension,"Tension in the neck muscles can be very uncomfortable.","Verspannungen in der Nackenmuskulatur können sehr unangenehm sein."
modisch / angesagt,trendy,"A trendy hairstyle.","Eine angesagte Frisur."
angegriffen werden,under attack,"Your body is under attack from all sorts of bacteria.","Dein Körper wird von allen möglichen Bakterien angegriffen."
brechen,to break,"I think I've broken my arm.","Ich glaube, ich habe mir den Arm gebrochen."
prellen,to bruise,"I bruised my leg when I fell off my bike.","Ich habe mir das Bein geprellt, als ich vom Fahrrad fiel."
die Beule / sich stoßen,to bump,"Mind you don't bump your head.","Pass auf, dass du dir nicht den Kopf stößt."
abplatzen / abschlagen,to chip,"She chipped a tooth on a piece of shell.","Sie hat sich an einem Stück Schale einen Zahn abgebrochen."
schrammen / aufschürfen,to graze,"I slid down the stairs, grazing my legs quite badly.","Ich rutschte die Treppe hinunter und schürfte mir die Beine ziemlich übel auf."
in einer schlimmen Verfassung,in a bad way,"He's in a bad way and still in hospital.","Er ist in einer schlimmen Verfassung und immer noch im Krankenhaus."
verlieren (Stimme),to lose (voice),"The show finished early after the lead singer lost her voice.","Die Show endete frühzeitig, nachdem die Sängerin ihre Stimme verloren hatte."
angeschlagen / unwohl,off colour,"I've been feeling a bit off colour all week.","Ich fühle mich schon die ganze Woche etwas angeschlagen."
auf dem Weg der Besserung,on the mend,"She's been on the mend all week.","Sie ist schon die ganze Woche auf dem Weg der Besserung."
ohnmächtig werden,to pass out,"It was so hot on the bus I thought I was going to pass out.","Es war so heiß im Bus, dass ich dachte, ich werde ohnmächtig."
überdehnen / zerren,to pull (muscle),"She pulled her calf muscle.","Sie hat sich den Wadenmuskel gezerrt."
die Rippe,rib,"He cracked a rib playing rugby.","Er hat sich beim Rugby eine Rippe angeknackst."
ausgelaugt,run down,"I felt so run down after working three weeks without a day off.","Ich fühlte mich so ausgelaugt, nachdem ich drei Wochen ohne freien Tag gearbeitet hatte."
durchgeschüttelt / gebeutelt,shaken up,"Joe is still shaken up after the incident.","Joe ist nach dem Vorfall immer noch ganz durchgeschüttelt."
verstauchen,to sprain,"She slipped and sprained her ankle.","Sie rutschte aus und verstauchte sich den Knöchel."
überlasten / zerren,to strain,"Mind you don't strain yourself doing too much gardening.","Pass auf, dass du dich bei der Gartenarbeit nicht übernimmst."
stoßen,to stub,"I stubbed my toe on the bedside table.","Ich habe mir den Zeh am Nachttisch gestoßen."
nicht ganz auf der Höhe sein,under the weather,"I'm a bit under the weather, but nothing serious.","Ich bin nicht ganz auf der Höhe, aber es ist nichts Ernstes."
ästhetisch / geschmackvoll,aesthetic,"The new design has a strong aesthetic appeal.","Das neue Design hat einen starken ästhetischen Reiz."
wörtlich nehmen / für bare Münze nehmen,at face value,"You shouldn't take what Johnson says at face value.","Du solltest nicht für bare Münze nehmen, was Johnson sagt."
die Spule / aufwickeln,coil,"Wind it into a coil.","Wickle es zu einer Spule auf."
die Gesichtsfarbe / der Teint,complexion,"She had a beautiful, delicate complexion.","Sie hatte einen schönen, zarten Teint."
die Suppe auslöffeln / dafür geradestehen,to face the music,"We decided to face the music and admitted we had taken the car.","Wir beschlossen, dafür geradezustehen, und gaben zu, das Auto genommen zu haben."
das Füßebinden,foot-binding,"Foot-binding is no longer carried out.","Das Füßebinden wird nicht mehr praktiziert."
viel Aufhebens machen,to fuss over,"Stop fussing over me – I can do it myself.","Hör auf, so ein Aufheben um mich zu machen – ich kann das selbst."
der Kiefer,jaw,"The boxer suffered a broken jaw.","Der Boxer erlitt einen Kieferbruch."
keine Miene verziehen / ernst bleiben,to keep a straight face,"How can you watch that and keep a straight face?","Wie kannst du das ansehen und dabei ernst bleiben?"
ein langes Gesicht (ziehen),long face,"Why the long face?","Warum das lange Gesicht?"
das Gesicht verlieren,to lose face,"They weren't prepared to lose face in the negotiations.","Sie waren nicht bereit, in den Verhandlungen ihr Gesicht zu verlieren."
auf den ersten Blick,on the face of it,"On the face of it, it sounds like a good idea.","Auf den ersten Blick klingt das nach einer guten Idee."
jdn. beschäftigen,to preoccupy,"He's been preoccupied with planning his next novel.","Er ist damit beschäftigt, seinen nächsten Roman zu planen."
gute Miene zum bösen Spiel machen,to put a brave face on,"Ministers were trying to put a brave face on the election results.","Die Minister versuchten, gute Miene zu den Wahlergebnissen zu machen."
die Suche / das Bestreben,quest,"Her never-ending quest for the perfect wildlife photograph.","Ihre endlose Suche nach dem perfekten Tierfoto."
der Scout,scout,"He's a scout for a top model agency.","Er ist ein Scout für eine Top-Modelagentur."
oberflächlich,shallow,"He has only a shallow understanding of the problem.","Er hat nur ein oberflächliches Verständnis des Problems."
der Status / Rang,status,"My grandfather's family had very low social status.","Die Familie meines Großvaters hatte einen sehr niedrigen sozialen Status."
der Charakterzug / das Merkmal,trait,"Genetic traits can affect intelligence.","Genetische Merkmale können die Intelligenz beeinflussen."
die Eitelkeit,vanity,"Products designed to appeal to female vanity.","Produkte, die die weibliche Eitelkeit ansprechen sollen."
dementsprechend,accordingly,"Keep an eye on the temperature and adjust the flame accordingly.","Behalten Sie die Temperatur im Auge und passen Sie die Flamme dementsprechend an."
zugegebenermaßen,admittedly,"Admittedly, we used a very small sample for the survey.","Zugegebenermaßen haben wir eine sehr kleine Stichprobe für die Umfrage verwendet."
im Gegenzug / umgekehrt,conversely,"If they succeed, they'll get a bonus. Conversely, if they fail...","Wenn sie Erfolg haben, bekommen sie einen Bonus. Umgekehrt, wenn sie scheitern..."
überwachen,to monitor,"We use remote cameras to monitor the traffic.","Wir verwenden Fernkameras, um den Verkehr zu überwachen."
insgesamt,overall,"Overall, the new rules have had little effect.","Insgesamt hatten die neuen Regeln wenig Auswirkungen."
das Pilotprojekt,pilot scheme,"The pilot scheme was abandoned after only three weeks.","Das Pilotprojekt wurde nach nur drei Wochen abgebrochen."
die Prämie,premium,"Insurance premiums for drivers under 25 are incredibly high.","Versicherungsprämien für Fahrer unter 25 sind unglaublich hoch."
der/die Antwortende (Befragte),respondent,"Well over half the respondents lived in the south.","Weit über die Hälfte der Befragten lebte im Süden."
die Apathie / Teilnahmslosigkeit,apathy,"The proposal was greeted with apathy.","Der Vorschlag wurde mit Teilnahmslosigkeit aufgenommen."
ungeschickt,awkwardly,"I landed awkwardly and sprained my ankle.","Ich landete ungeschickt und verstauchte mir den Knöchel."
die Einberufung / Wehrpflicht,draft,"They no longer have the draft in the US.","In den USA gibt es keine Wehrpflicht mehr."
das Filmmaterial,footage,"The documentary includes footage of Trotsky.","Der Dokumentarfilm enthält Filmmaterial von Trotzki."
der Stuntman,stuntman,"They wouldn't let him film the scene himself and insisted on using a stuntman.","Sie ließen ihn die Szene nicht selbst drehen und bestanden auf einem Stuntman."
unvermeidlich,inevitable,"It was almost inevitable that he would lose the election.","Es war fast unvermeidlich, dass er die Wahl verlieren würde."
vorbeugend / präventiv,preventive,"If you take preventive measures, you can reduce the risk.","Wenn Sie vorbeugende Maßnahmen ergreifen, können Sie das Risiko verringern."
sitzend,sedentary,"A sedentary lifestyle.","Ein sitzender Lebensstil."
Neue Wörter,New words,"Example sentence here","Translation here"
schmälern / ablenken,to detract from,"This should not detract from the reality of the change.","Dies sollte die Realität des Wandels nicht schmälern."
das Maßhalten,moderation,"That's all fine so long as it's done in moderation.","Das ist alles in Ordnung, solange es in Maßen geschieht."
per Post versenden / posten,to post,"She posted lots of photos of her holiday on Facebook.","Sie postete viele Fotos von ihrem Urlaub auf Facebook."
das Steuer übernehmen / übernehmen,to take over,"Don't let social media take over your life.","Lass nicht zu, dass soziale Medien dein Leben übernehmen."
hochladen,to upload,"It's easy to upload your photos.","Es ist einfach, deine Fotos hochzuladen."
das Emoticon,emoji,"Her text messages seem to be more emojis than words.","Ihre SMS scheinen mehr aus Emojis als aus Wörtern zu bestehen."
umdrehen,to flip,"She flipped the envelope over.","Sie drehte den Umschlag um."
kurze Aufmerksamkeitsspanne,grasshopper mind,"My French teacher told me I had a grasshopper mind.","Mein Französischlehrer sagte mir, ich hätte eine kurze Aufmerksamkeitsspanne."
das Hashtag,hashtag,"Use the hashtag #tedtalk when you tweet about it.","Verwenden Sie das Hashtag #tedtalk, wenn Sie darüber twittern."
unabkömmlich,indispensable,"A dictionary is an indispensable tool for language learners.","Ein Wörterbuch ist ein unabkömmliches Werkzeug für Sprachlerner."
anfänglich,initial,"The initial ban was introduced in 2006.","Das anfängliche Verbot wurde 2006 eingeführt."
jdm. überlegen sein,to outclass,"She completely outclassed her opponent.","Sie war ihrer Gegnerin völlig überlegen."
herauswachsen aus,to outgrow,"We bought him some boots in September and he'd outgrown them by February.","Wir kauften ihm im September Stiefel und bis Februar war er aus ihnen herausgewachsen."
jdn. überleben,to outlive,"She outlived her husband by 15 years.","Sie überlebte ihren Ehemann um 15 Jahre."
zahlenmäßig überlegen sein,to outnumber,"The restaurant was so quiet the staff outnumbered the customers.","Das Restaurant war so ruhig, dass das Personal den Kunden zahlenmäßig überlegen war."
sich besser verkaufen als etw.,to outsell,"iPhones outsold Samsung in the first half of the year.","iPhones verkauften sich in der ersten Jahreshälfte besser als Samsung."
überwiegen,to outweigh,"I think the negatives far outweigh the positives.","Ich denke, die negativen Aspekte überwiegen bei weitem die positiven."
posieren,to pose,"He was photographed in various poses.","Er wurde in verschiedenen Posen fotografiert."
neben,alongside,"Can we achieve proper environmental protection alongside economic growth?","Können wir echten Umweltschutz neben Wirtschaftswachstum erreichen?"
ungefähr,ballpark,"How much will it cost? Give me a ballpark figure.","Wie viel wird es kosten? Nennen Sie mir eine ungefähre Zahl."
bewährte Methoden,best practice,"Always follow best practice when setting up the project.","Folgen Sie beim Aufsetzen des Projekts immer den bewährten Methoden."
etw. glauben / akzeptieren,to buy into,"I'm not sure I want to buy into this strategy.","Ich bin mir nicht sicher, ob ich dieser Strategie glauben möchte."
kundenorientiert,customer-focused,"Creating a customer-focused culture is essential.","Die Schaffung einer kundenorientierten Kultur ist essenziell."
in Zukunft,going forward,"What does this mean for the company going forward?","Was bedeutet das für das Unternehmen in Zukunft?"
auf dem Laufenden (halten),in the loop,"Keep me in the loop while I'm away.","Halte mich auf dem Laufenden, während ich weg bin."
treu,loyal,"Luckily we have a large number of loyal customers.","Zum Glück haben wir eine große Anzahl treuer Kunden."
kein Hexenwerk,not rocket science,"Look, it's not rocket science.","Schau, es ist kein Hexenwerk."
die gleiche Sprache sprechen (einig sein),on the same page,"It looks as though we're all on the same page.","Es sieht so aus, als ob wir alle die gleiche Sprache sprechen."
der Wahrheit ins Auge blicken,reality check,"After this reality check we revised our plans.","Nachdem wir der Wahrheit ins Auge geblickt hatten, überarbeiteten wir unsere Pläne."
um die Ecke denken,to think outside the box,"We need to think outside the box if we want to find the solution.","Wir müssen um die Ecke denken, wenn wir die Lösung finden wollen."
die Win-win-Situation,win-win,"The proposal looked like a win-win for everyone.","Der Vorschlag sah für alle wie eine Win-win-Situation aus."
würdig,worthy,"The campaign has clear and worthy objectives.","Die Kampagne hat klare und würdige Ziele."
der/die Amateur/-in,amateur,"He was an enthusiastic amateur on the guitar.","Er war ein enthusiastischer Amateur auf der Gitarre."
die Kosten decken,to break even,"We didn't make a profit, but at least we broke even.","Wir haben keinen Gewinn gemacht, aber zumindest die Kosten gedeckt."
den Tiefpunkt überwinden,to break the back,"It's a long job, but we've broken the back of it now.","Es ist eine lange Arbeit, aber wir haben den Tiefpunkt jetzt überwunden."
sich ruinieren (finanziell),to break the bank,"A visit to Australia won't break the bank.","Ein Besuch in Australien wird dich nicht ruinieren."
sich etw. abgewöhnen,to break the habit,"Try to break the habit of putting sugar in your coffee.","Versuch dir abzugewöhnen, Zucker in den Kaffee zu tun."
Nachrichten überbringen,to break the news,"The manager broke the news that the factory was going to close.","Der Manager überbrachte die Nachricht, dass die Fabrik schließen würde."
schwach beleuchtet,dimly-lit,"We went down some steps into a dimly-lit club.","Wir gingen ein paar Stufen hinunter in einen schwach beleuchteten Club."
hässlich / plump / grob,gross,"The article was a gross misrepresentation of what I said.","Der Artikel war eine grobe Falschdarstellung dessen, was ich gesagt habe."
die Handschellen,handcuffs,"The two men were led away in handcuffs.","Die beiden Männer wurden in Handschellen abgeführt."
hypnotisierend,mesmerizing,"Her performance as Cleopatra was mesmerizing.","Ihre Vorstellung als Kleopatra war hypnotisierend."
die Falschdarstellung,misrepresentation,"That's a plain misrepresentation of what I said!","Das ist eine klare Falschdarstellung dessen, was ich gesagt habe!"
stopfen / kitten,to plug,"The government are determined to plug the loopholes in the tax system.","Die Regierung ist entschlossen, die Schlupflöcher im Steuersystem zu stopfen."
zurückholen,to retrieve,"He retrieved his passport from the hotel reception desk.","Er holte seinen Pass von der Hotelrezeption zurück."
eingerissen,ripped,"It is common to see students with ripped shirts on campus.","Es ist üblich, Studenten mit eingerissenen Hemden auf dem Campus zu sehen."
gestreut / übersät,strewn,"The room was filthy and clothes were strewn everywhere.","Das Zimmer war dreckig und Kleidung war überall verstreut."
enorm / riesig,vast,"They've destroyed vast areas of land.","Sie haben riesige Landflächen zerstört."
verletzlich,vulnerable,"The elderly are among the most vulnerable in today's society.","Ältere Menschen gehören zu den Verletzlichsten in der heutigen Gesellschaft."
wohl,arguably,"His second novel was arguably better than his first.","Sein zweiter Roman war wohl besser als sein erster."
verlaufen / verschmelzen,to blend,"It can easily blend into the background.","Es kann leicht mit dem Hintergrund verschmelzen."
der Auftrag,commission,"He's received a commission to do a similar painting.","Er hat einen Auftrag erhalten, ein ähnliches Gemälde zu malen."
die Kreatur,creature,"Are there any poisonous creatures in your country?","Gibt es giftige Kreaturen in deinem Land?"
abgeben / ausstoßen,to emit,"All computers emit a small amount of radiation.","Alle Computer geben eine kleine Menge Strahlung ab."
leuchtend,glowing,"In the distance we could see the glowing lights of Edinburgh.","In der Ferne konnten wir die leuchtenden Lichter von Edinburgh sehen."
ironisch,ironic,"It's ironic that the first goal was scored by a defender.","Es ist ironisch, dass das erste Tor von einem Verteidiger erzielt wurde."
das Raubtier,predator,"The fish are easily recognised by predators.","Die Fische werden von Raubtieren leicht erkannt."
die Fotomontage / Trickfotografie,trick photography,"They used trick photography to show Astaire dancing with three of his shadows.","Sie benutzten Fotomontage, um Astaire mit drei seiner Schatten tanzen zu zeigen."
die Zusammenarbeit,collaboration,"The project requires close collaboration with doctors.","Das Projekt erfordert eine enge Zusammenarbeit mit Ärzten."
entwerten,to devalue,"We mustn't devalue the role of women in history.","Wir dürfen die Rolle der Frauen in der Geschichte nicht entwerten."
gefährdet,endangered,"Tigers are now an endangered species.","Tiger sind jetzt eine gefährdete Art."
eingeboren / einheimisch,indigenous,"The island has no indigenous inhabitants.","Die Insel hat keine eingeborenen Bewohner."
der Einblick,insight,"The book gives a real insight into the causes of the war.","Das Buch gibt einen echten Einblick in die Ursachen des Krieges."
das Lexikon,lexicon,"A lexicon of technical terms in music.","Ein Lexikon technischer Begriffe in der Musik."
Zug- / wandernd,migratory,"The lakes attract a variety of migratory birds in autumn.","Die Seen ziehen im Herbst eine Vielzahl von Zugvögeln an."
wiederbelebt,revitalized,"I felt revitalized after my shower.","Ich fühlte mich nach meiner Dusche wiederbelebt."
akustisch,acoustic,"He plays acoustic guitar in the second half of the show.","Er spielt in der zweiten Hälfte der Show akustische Gitarre."
Daumen drücken,fingers crossed,"I've sent off my job application – fingers crossed.","Ich habe meine Bewerbung abgeschickt – Daumen drücken."
talentiert,gifted,"She's a naturally-gifted musician.","Sie ist eine von Natur aus talentierte Musikerin."
summen,to hum,"I realised I was humming when people started staring at me.","Ich merkte, dass ich summte, als die Leute anfingen, mich anzustarren."
das Keyboard,keyboard,"He plays keyboard in our band.","Er spielt Keyboard in unserer Band."
nervenaufreibend,nerve-racking,"I find it very nerve-racking having to speak in front of a large audience.","Ich finde es sehr nervenaufreibend, vor einem großen Publikum sprechen zu müssen."
touren,to tour,"We're touring in Scotland next year.","Wir touren nächstes Jahr durch Schottland."
vielschichtig / eklektisch,eclectic,"He has pretty eclectic tastes.","Er hat einen ziemlich vielschichtigen Geschmack."
die Gänsehaut,goosebumps,"I get goosebumps just thinking about it.","Ich bekomme Gänsehaut, wenn ich nur daran denke."
introspektiv / selbstbeobachtend,introspective,"The characters in his novels are all very introspective.","Die Charaktere in seinen Romanen sind alle sehr introspektiv."
massenhaft / Massen-,mass,"The 1930s was a decade of mass unemployment.","Die 1930er Jahre waren ein Jahrzehnt der Massenarbeitslosigkeit."
der Geschmack,taste,"She has very good taste in music.","Sie hat einen sehr guten Musikgeschmack."
peppig / optimistisch,upbeat,"He had a very upbeat approach to life.","Er hatte eine sehr optimistische Einstellung zum Leben."
sich selbst loben,to blow your own trumpet,"I don't want to blow my own trumpet, but I passed my driving test first time.","Ich will mich nicht selbst loben, aber ich habe meine Führerscheinprüfung beim ersten Mal bestanden."
andere Saiten aufziehen / Meinung ändern,to change your tune,"You'll soon change your tune when you see how comfortable the hotel is.","Du wirst deine Meinung schnell ändern, wenn du siehst, wie komfortabel das Hotel ist."
die Störung (medizinisch),disorder,"Our daughter had an eating disorder.","Unsere Tochter hatte eine Essstörung."
zusammenhangslos / unzusammenhängend,incoherent,"He was incoherent with anger.","Er war vor Wut unzusammenhängend."
die Hemmung,inhibition,"Singing in a choir will help you lose your inhibitions.","In einem Chor zu singen hilft dir, deine Hemmungen zu verlieren."
eine Staatsaffäre aus etw. machen,to make a song and dance,"He made such a song and dance about mending the window.","Er machte ein riesen Theater darum, das Fenster zu reparieren."
